Date,Time,Open,High,Low,Close,Tickvol,Spread
2019-11-28,12:00:00,1.62493,1.62686,1.6244,1.62686,4755,14
2019-11-28,16:00:00,1.62685,1.6273,1.62625,1.62662,2884,14
2019-11-28,20:00:00,1.62662,1.62716,1.62561,1.62691,3802,14
2019-11-29,00:00:00,1.6269,1.62793,1.62581,1.62582,4388,14
2019-11-29,04:00:00,1.62581,1.62609,1.62443,1.62454,3982,14
2019-11-29,08:00:00,1.62454,1.62487,1.62264,1.62311,4970,14
2019-11-29,12:00:00,1.6231,1.63038,1.62239,1.63011,6672,14
2019-11-29,16:00:00,1.6301,1.63138,1.62852,1.6286,5081,14
2019-11-29,20:00:00,1.6286,1.62953,1.62792,1.62947,2018,14
2019-12-01,20:00:00,1.62823,1.62911,1.62804,1.62861,1334,14
2019-12-02,00:00:00,1.6286,1.6287,1.62566,1.62588,4410,14
2019-12-02,04:00:00,1.62588,1.6269,1.62573,1.62647,3796,14
2019-12-02,08:00:00,1.62644,1.62675,1.62179,1.62238,5815,14
2019-12-02,12:00:00,1.62238,1.62678,1.62147,1.62479,7727,14
2019-12-02,16:00:00,1.62474,1.62571,1.62353,1.62395,5881,14
2019-12-02,20:00:00,1.62396,1.62516,1.62381,1.62453,3489,14
2019-12-03,00:00:00,1.62453,1.62462,1.61889,1.61931,5120,14
2019-12-03,04:00:00,1.61931,1.61982,1.61716,1.61916,4585,14
2019-12-03,08:00:00,1.61919,1.61931,1.61481,1.61651,7298,14
2019-12-03,12:00:00,1.6165,1.62145,1.61618,1.6206,7839,14
2019-12-03,16:00:00,1.62057,1.62183,1.61931,1.61962,5052,14
2019-12-03,20:00:00,1.61962,1.62006,1.61768,1.61785,3159,14
2019-12-04,00:00:00,1.61783,1.62247,1.61708,1.62192,5759,14
2019-12-04,04:00:00,1.62192,1.62537,1.62173,1.62522,4723,14
2019-12-04,08:00:00,1.62523,1.62608,1.62009,1.62036,7588,14
2019-12-04,12:00:00,1.62035,1.62283,1.61833,1.61833,7952,14
2019-12-04,16:00:00,1.61833,1.6189,1.61575,1.61625,5401,14
2019-12-04,20:00:00,1.61625,1.61821,1.61618,1.61792,3428,14
2019-12-05,00:00:00,1.61792,1.62124,1.61686,1.62117,5690,14
2019-12-05,04:00:00,1.62117,1.6216,1.61884,1.61884,3956,14
2019-12-05,08:00:00,1.61883,1.62487,1.61864,1.62429,5627,14
2019-12-05,12:00:00,1.62428,1.62669,1.62427,1.62524,6622,14
2019-12-05,16:00:00,1.62524,1.62595,1.62377,1.62492,4947,14
2019-12-05,20:00:00,1.62491,1.62556,1.62428,1.62512,3330,14
2019-12-06,00:00:00,1.62511,1.62522,1.62314,1.624,4729,14
2019-12-06,04:00:00,1.624,1.62401,1.62217,1.62368,3964,14
2019-12-06,08:00:00,1.62368,1.62385,1.61892,1.61936,4907,14
2019-12-06,12:00:00,1.61937,1.62009,1.61747,1.61791,8078,14
2019-12-06,16:00:00,1.61786,1.61786,1.61501,1.61668,4326,14
2019-12-06,20:00:00,1.61669,1.61717,1.61639,1.61646,1608,14
2019-12-08,20:00:00,1.61833,1.61842,1.61719,1.61773,1149,14
2019-12-09,00:00:00,1.61772,1.61864,1.61739,1.61826,4278,14
2019-12-09,04:00:00,1.61826,1.62025,1.61804,1.62002,3815,14
