Date,Time,Open,High,Low,Close
2020-02-25,20:00:00,1.64862,1.65023,1.64682,1.64707
2020-02-26,00:00:00,1.64707,1.65001,1.64452,1.64593
2020-02-26,04:00:00,1.64592,1.6549,1.64592,1.65332
2020-02-26,08:00:00,1.65333,1.65774,1.65315,1.65706
2020-02-26,12:00:00,1.65706,1.65939,1.65121,1.65785
2020-02-26,16:00:00,1.65782,1.66228,1.65713,1.66228
2020-02-26,20:00:00,1.6623,1.66275,1.66055,1.66265
2020-02-27,00:00:00,1.66268,1.66624,1.66188,1.66294
2020-02-27,04:00:00,1.66292,1.66621,1.66248,1.66408
2020-02-27,08:00:00,1.66406,1.66643,1.66209,1.66484
2020-02-27,12:00:00,1.66486,1.671,1.6641,1.67026
2020-02-27,16:00:00,1.67024,1.67092,1.66653,1.66877
2020-02-27,20:00:00,1.66877,1.67557,1.66788,1.671
2020-02-28,00:00:00,1.67101,1.68382,1.67035,1.6809
2020-02-28,04:00:00,1.68089,1.68807,1.68023,1.68389
2020-02-28,08:00:00,1.6839,1.69565,1.68361,1.69129
2020-02-28,12:00:00,1.69127,1.70679,1.6836,1.70093
2020-02-28,16:00:00,1.70092,1.7056,1.68978,1.69103
2020-02-28,20:00:00,1.69103,1.69626,1.68924,1.69463
2020-03-01,20:00:00,1.70482,1.70558,1.69475,1.6959
2020-03-02,00:00:00,1.69623,1.70144,1.68937,1.69335
2020-03-02,04:00:00,1.69335,1.69625,1.68998,1.69111
2020-03-02,08:00:00,1.6911,1.70373,1.68772,1.70297
2020-03-02,12:00:00,1.70293,1.70869,1.69729,1.70778
2020-03-02,16:00:00,1.70777,1.71248,1.70572,1.70912
2020-03-02,20:00:00,1.70914,1.70914,1.70079,1.70186
2020-03-03,00:00:00,1.70176,1.71017,1.6964,1.69973
2020-03-03,04:00:00,1.69972,1.70445,1.69668,1.6975
2020-03-03,08:00:00,1.69752,1.69844,1.69209,1.69229
2020-03-03,12:00:00,1.69228,1.69576,1.68314,1.68797
2020-03-03,16:00:00,1.68798,1.69732,1.68659,1.69402
2020-03-03,20:00:00,1.69401,1.69935,1.69242,1.69768
2020-03-04,00:00:00,1.6977,1.6977,1.68844,1.68967
2020-03-04,04:00:00,1.68966,1.69292,1.68768,1.68967
2020-03-04,08:00:00,1.68967,1.69282,1.6819,1.68321
