<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.12.23	06:00:00	1.58721	1.58735	1.58461	1.58489	1598	0	14
2022.12.23	07:00:00	1.58486	1.58700	1.58412	1.58659	2186	0	14
2022.12.23	08:00:00	1.58662	1.58673	1.58459	1.58516	2370	0	14
2022.12.23	09:00:00	1.58512	1.58602	1.58361	1.58397	2001	0	14
2022.12.23	10:00:00	1.58395	1.58520	1.58242	1.58319	1936	0	14
2022.12.23	11:00:00	1.58324	1.58601	1.58227	1.58568	2105	0	14
2022.12.23	12:00:00	1.58571	1.58692	1.58421	1.58671	1805	0	14
2022.12.23	13:00:00	1.58675	1.58775	1.58355	1.58421	4835	0	14
2022.12.23	14:00:00	1.58418	1.58782	1.58372	1.58470	4000	0	14
2022.12.23	15:00:00	1.58459	1.58649	1.58326	1.58408	4389	0	14
2022.12.23	16:00:00	1.58410	1.58511	1.58256	1.58311	2487	0	14
2022.12.23	17:00:00	1.58315	1.58340	1.58048	1.58161	1817	0	14
2022.12.23	18:00:00	1.58157	1.58254	1.58086	1.58238	1770	0	14
2022.12.23	19:00:00	1.58240	1.58329	1.58210	1.58254	1489	0	14
2022.12.23	20:00:00	1.58255	1.58272	1.57945	1.57968	1311	0	14
2022.12.23	21:00:00	1.57971	1.58135	1.57962	1.58115	1487	0	14
2022.12.25	22:00:00	1.57974	1.58079	1.57926	1.57968	36	0	750
2022.12.25	23:00:00	1.58108	1.58296	1.57773	1.58284	836	0	108
2022.12.26	00:00:00	1.58310	1.58998	1.58194	1.58501	1705	0	64
2022.12.26	01:00:00	1.58506	1.58630	1.58446	1.58575	689	0	66
2022.12.26	02:00:00	1.58557	1.58758	1.58501	1.58561	6351	0	56
2022.12.26	03:00:00	1.58563	1.58624	1.58361	1.58389	4165	0	65
2022.12.26	04:00:00	1.58409	1.58471	1.58069	1.58235	2543	0	59
2022.12.26	05:00:00	1.58230	1.58291	1.58018	1.58126	751	0	64
2022.12.26	06:00:00	1.58125	1.58180	1.58036	1.58042	966	0	199
2022.12.26	07:00:00	1.58089	1.58217	1.57883	1.57975	639	0	173
2022.12.26	08:00:00	1.57916	1.57977	1.57797	1.57905	586	0	192
2022.12.26	09:00:00	1.57929	1.58036	1.57825	1.57954	315	0	186
2022.12.26	10:00:00	1.57915	1.58025	1.57818	1.57927	316	0	178
2022.12.26	11:00:00	1.57945	1.57958	1.57909	1.57923	40	0	334
2022.12.26	12:00:00	1.58058	1.58112	1.57976	1.58056	119	0	46
2022.12.26	13:00:00	1.58051	1.58187	1.58046	1.58079	302	0	45
2022.12.26	14:00:00	1.58081	1.58205	1.57928	1.58072	1202	0	96
2022.12.26	15:00:00	1.58074	1.58218	1.57906	1.58022	1004	0	98
2022.12.26	16:00:00	1.57992	1.58199	1.57922	1.58103	2354	0	132
2022.12.26	17:00:00	1.58112	1.58260	1.58041	1.58219	942	0	96
2022.12.26	18:00:00	1.58202	1.58262	1.57966	1.58062	2135	0	101
2022.12.26	19:00:00	1.58019	1.58094	1.57870	1.58016	2336	0	117
2022.12.26	20:00:00	1.58015	1.58104	1.57972	1.58070	884	0	124
2022.12.26	21:00:00	1.58073	1.58143	1.57985	1.58054	925	0	114
2022.12.26	22:00:00	1.57543	1.57844	1.57533	1.57733	423	0	578
2022.12.26	23:00:00	1.58043	1.58043	1.57299	1.57666	2301	0	179
2022.12.27	00:00:00	1.57718	1.57908	1.57639	1.57811	1412	0	14
2022.12.27	01:00:00	1.57815	1.57900	1.57674	1.57752	1944	0	14
2022.12.27	02:00:00	1.57756	1.57864	1.57692	1.57696	1536	0	14
2022.12.27	03:00:00	1.57700	1.58005	1.57697	1.57997	1328	0	14
2022.12.27	04:00:00	1.58002	1.58010	1.57802	1.57833	1118	0	14
2022.12.27	05:00:00	1.57834	1.57873	1.57623	1.57623	1334	0	14
2022.12.27	06:00:00	1.57627	1.57719	1.57461	1.57491	1656	0	14
